Naziv	Broj korisnika	Lon	Lat
DSLAM-1	197	15,6368	45,1811
DSLAM-2	245	15,5988	45,174
DSLAM-3	149	15,4383	45,2341
DSLAM-4	302	15,0328	45,024
DSLAM-5	255	15,7905	44,9735
DSLAM-6	79	15,1468	45,4053
DSLAM-7	281	15,3083	45,3184
DSLAM-8	255	15,2204	45,1666
DSLAM-9	272	15,2552	45,1526
DSLAM-10	228	15,4018	45,0627
DSLAM-11	167	15,6019	44,985
DSLAM-12	244	15,2898	45,5135
DSLAM-13	341	15,4226	45,3321
DSLAM-14	166	15,4481	45,3699
DSLAM-15	126	15,6594	45,6999
DSLAM-16	44	14,9799	45,4004
DSLAM-17	358	15,4849	45,5406
DSLAM-18	160	15,4915	45,4483
DSLAM-19	163	15,4561	45,6213
DSLAM-20	314	15,5835	45,5234
DSLAM-21	317	14,9731	45,4276
DSLAM-22	359	15,6501	45,5095
DSLAM-23	152	15,1145	45,1053
DSLAM-24	339	15,5474	45,4145
DSLAM-25	376	15,395	45,4397
DSLAM-26	160	15,5454	45,1056
DSLAM-27	300	15,5888	45,3676
DSLAM-28	283	15,8329	45,4433
DSLAM-29	388	15,6831	45,2829
DSLAM-30	154	15,2286	45,4456
DSLAM-31	195	16,5383	46,3032
DSLAM-32	178	16,8621	46,1404
DSLAM-33	104	16,5867	45,9185
DSLAM-34	198	16,6805	46,1758
DSLAM-35	263	16,7786	45,7766
DSLAM-36	358	16,5442	46,1661
DSLAM-37	241	16,823	46,3012
DSLAM-38	371	17,0273	46,0596
DSLAM-39	168	17,155	46,0826
DSLAM-40	163	16,5092	46,1254
DSLAM-41	80	16,716	46,1425
DSLAM-42	241	16,6577	46,2789
DSLAM-43	260	17,119	46,0153
DSLAM-44	141	16,3859	46,1808
DSLAM-45	253	16,9188	46,1315
DSLAM-46	398	17,0542	46,0298
DSLAM-47	359	17,0835	46,2506
DSLAM-48	297	16,8156	46,0782
DSLAM-49	371	17,0126	45,963
DSLAM-50	164	16,382	46,3051
DSLAM-51	131	16,8369	46,3543
DSLAM-52	147	16,6351	46,032
DSLAM-53	231	17,0395	45,8394
DSLAM-54	160	16,9865	45,9753
DSLAM-55	92	16,9291	46,2966
DSLAM-56	271	16,6548	46,1573
DSLAM-57	112	16,6124	46,0153
DSLAM-58	130	16,4748	46,1511
DSLAM-59	151	17,0461	45,7681
DSLAM-60	306	16,545	46,1817
DSLAM-61	224	16,7127	46,3265
DSLAM-62	101	16,6618	46,0949
DSLAM-63	325	16,757	45,9365
DSLAM-64	308	17,0517	46,4953
DSLAM-65	185	16,7514	46,0594
DSLAM-66	219	16,8301	46,1296
DSLAM-67	236	16,9865	46,0732
DSLAM-68	180	17,0065	46,1943
DSLAM-69	391	16,9042	46,2215
DSLAM-70	395	17,0821	46,1355
DSLAM-71	160	16,9779	46,1846
DSLAM-72	96	16,6402	45,891
DSLAM-73	150	16,7982	46,0312
DSLAM-74	389	15,7134	45,5608
DSLAM-75	323	15,2326	45,2452
DSLAM-76	186	15,5848	45,3666
DSLAM-77	152	15,7855	45,1224
DSLAM-78	258	15,3995	45,5733
DSLAM-79	69	15,6088	45,2584
DSLAM-80	67	16,0553	45,6027
DSLAM-81	219	15,6361	45,3175
DSLAM-82	386	15,5339	45,6524
DSLAM-83	244	15,5076	45,5303
DSLAM-84	99	15,5072	45,6107
DSLAM-85	348	15,6562	45,3118
DSLAM-86	115	15,3166	45,6142
DSLAM-87	212	15,7568	45,1022
DSLAM-88	265	15,2495	45,163
DSLAM-89	326	15,5268	45,3681
DSLAM-90	218	15,3415	45,5019
DSLAM-91	364	15,5463	45,633
DSLAM-92	83	15,4339	45,6729
DSLAM-93	162	15,5655	45,3343
DSLAM-94	138	15,4313	45,5204
DSLAM-95	356	15,105	45,3662
DSLAM-96	135	15,7468	45,4319
DSLAM-97	350	15,5451	45,5897
DSLAM-98	256	15,2169	45,0613
DSLAM-99	320	15,5017	45,0228
DSLAM-100	262	15,4635	45,7575
DSLAM-101	195	15,2246	45,215
DSLAM-102	161	15,573	45,5925
DSLAM-103	62	15,4231	45,2821
DSLAM-104	108	15,2351	45,2922
DSLAM-105	183	15,389	45,5306
DSLAM-106	276	15,5756	45,0554
DSLAM-107	242	15,3142	45,2262
DSLAM-108	110	15,8446	45,4971
DSLAM-109	356	15,3614	45,7755
DSLAM-110	142	15,1275	45,3377
DSLAM-111	108	15,5083	44,7943
DSLAM-112	65	15,6031	45,2357
DSLAM-113	290	15,5658	45,517
DSLAM-114	308	15,6699	45,0203
DSLAM-115	185	15,7836	45,4001
DSLAM-116	111	15,4976	45,1246
DSLAM-117	299	15,7654	45,5467
DSLAM-118	378	15,325	45,3621
DSLAM-119	285	15,4677	45,2862
DSLAM-120	274	15,5654	45,6504
DSLAM-121	104	15,506	45,3042
DSLAM-122	395	15,5304	45,0096
DSLAM-123	139	14,3219	45,5437
DSLAM-124	40	15,0794	45,3797
DSLAM-125	225	14,5111	44,4718
DSLAM-126	209	14,381	45,2517
DSLAM-127	113	14,6146	44,9294
DSLAM-128	164	14,7563	45,2816
DSLAM-129	400	14,5129	45,1741
DSLAM-130	173	14,4108	44,8916
DSLAM-131	314	14,2571	45,4383
DSLAM-132	384	14,5054	45,503
DSLAM-133	172	14,2199	45,315
DSLAM-134	169	14,4631	45,2927
DSLAM-135	163	14,2682	45,1415
DSLAM-136	249	14,4945	45,4055
DSLAM-137	335	14,3344	45,304
DSLAM-138	243	14,4939	45,3847
DSLAM-139	48	14,5169	45,0449
DSLAM-140	360	15,1636	45,3132
DSLAM-141	301	14,2072	45,1452
DSLAM-142	83	14,8168	45,3187
DSLAM-143	183	14,5376	45,4017
DSLAM-144	93	14,2507	45,2866
DSLAM-145	139	14,2728	44,5981
DSLAM-146	48	14,5103	45,0396
DSLAM-147	159	14,2982	45,4115
DSLAM-148	252	14,8211	45,5498
DSLAM-149	297	14,4193	45,2395
DSLAM-150	395	14,9875	45,2916
DSLAM-151	107	14,7394	44,7274
DSLAM-152	140	14,4883	44,4791
DSLAM-153	61	14,3294	45,3598
DSLAM-154	274	14,4872	45,2081
DSLAM-155	221	14,6318	45,1132
DSLAM-156	114	14,4766	45,3012
DSLAM-157	47	16,7612	46,1704
DSLAM-158	350	17,1952	46,1024
DSLAM-159	166	17,3045	46,0137
DSLAM-160	275	16,5392	46,2769
DSLAM-161	184	16,8214	46,0809
DSLAM-162	150	17,2402	45,9538
DSLAM-163	352	17,1291	46,157
DSLAM-164	98	16,7935	46,2065
DSLAM-165	361	16,5891	46,0568
DSLAM-166	172	16,6656	46,0873
DSLAM-167	286	16,7982	46,1014
DSLAM-168	270	16,8525	46,0951
DSLAM-169	261	16,4643	45,9275
DSLAM-170	273	16,8015	45,9888
DSLAM-171	120	16,5093	46,1372
DSLAM-172	279	14,8121	45,1251
DSLAM-173	77	14,8589	45,2891
DSLAM-174	187	14,7223	44,8658
DSLAM-175	260	14,2818	45,181
DSLAM-176	396	14,2148	45,3976
DSLAM-177	105	14,6834	45,2625
DSLAM-178	291	14,8703	45,3947
DSLAM-179	216	14,8225	45,4491
DSLAM-180	320	14,4903	45,4652
DSLAM-181	102	14,57	45,1435
DSLAM-182	215	14,3485	45,3307
DSLAM-183	87	14,4038	45,4141
DSLAM-184	323	14,527	45,496
DSLAM-185	168	14,471	45,2116
DSLAM-186	390	14,578	45,1818
DSLAM-187	119	14,4584	45,0193
DSLAM-188	59	14,684	44,947
DSLAM-189	41	14,4526	45,1668
DSLAM-190	194	14,5196	44,929
DSLAM-191	359	14,979	45,1756
DSLAM-192	169	14,5675	45,431
DSLAM-193	116	14,2854	45,5423
DSLAM-194	358	14,5078	45,2875
DSLAM-195	140	14,499	45,1881
DSLAM-196	225	15,023	45,4029
DSLAM-197	392	14,8922	45,3031
DSLAM-198	143	14,9199	45,1868
DSLAM-199	54	15,0887	45,4234
DSLAM-200	264	14,3644	45,2321
DSLAM-201	308	14,6606	45,2146
DSLAM-202	201	14,6906	44,9444
DSLAM-203	370	14,3387	45,2085
DSLAM-204	341	14,7507	45,661
DSLAM-205	251	14,3565	45,3463
DSLAM-206	166	14,3832	45,0188
DSLAM-207	400	14,5752	45,2728
DSLAM-208	113	14,8696	44,9783
DSLAM-209	149	14,5493	45,1675
DSLAM-210	279	14,2689	44,8824
DSLAM-211	46	14,1348	45,1764
DSLAM-212	66	14,4659	45,8104
DSLAM-213	198	14,5792	45,2157
DSLAM-214	232	14,6196	45,0222
DSLAM-215	316	14,3611	44,6606
DSLAM-216	292	14,637	44,9465
DSLAM-217	120	14,872	45,3763
DSLAM-218	257	14,7349	44,9407
DSLAM-219	150	14,6485	45,435
DSLAM-220	78	15,0325	45,495
DSLAM-221	65	14,2426	45,5407
DSLAM-222	177	14,1112	45,5992
DSLAM-223	241	14,4278	45,5495
DSLAM-224	393	14,576	45,2538
DSLAM-225	300	15,1539	45,3441
DSLAM-226	118	15,0828	45,6065
DSLAM-227	272	14,781	45,1046
DSLAM-228	321	15,0223	45,3215
DSLAM-229	266	14,7331	44,9713
DSLAM-230	371	14,5598	45,1861
DSLAM-231	276	14,2578	45,4324
DSLAM-232	134	14,3392	45,2882
DSLAM-233	249	14,8846	44,8047
DSLAM-234	191	14,9162	45,2598
DSLAM-235	115	16,0141	45,907
DSLAM-236	94	15,912	46,1082
DSLAM-237	360	15,753	46,0033
DSLAM-238	74	15,7303	46,2544
DSLAM-239	356	15,8834	45,8984
DSLAM-240	78	14,5383	45,4273
DSLAM-241	383	14,4861	45,2652
DSLAM-242	315	14,5097	45,3114
DSLAM-243	250	14,4566	45,5058
DSLAM-244	397	14,5834	45,3392
DSLAM-245	283	14,3884	44,5904
DSLAM-246	52	14,3138	45,2469
DSLAM-247	382	14,288	44,7188
DSLAM-248	395	14,4423	45,1374
DSLAM-249	144	14,1453	45,2972
DSLAM-250	110	14,3676	44,6266
DSLAM-251	148	14,9845	45,1907
DSLAM-252	246	14,6491	45,1712
DSLAM-253	306	14,4267	45,3818
DSLAM-254	365	14,1968	45,4924
DSLAM-255	57	14,2919	45,3889
DSLAM-256	104	14,2711	44,9254
DSLAM-257	143	15,0153	45,4538
DSLAM-258	338	14,4888	45,1605
DSLAM-259	340	14,6615	45,7642
DSLAM-260	324	14,3667	45,4518
DSLAM-261	218	14,3032	45,1638
DSLAM-262	370	14,2158	45,4745
DSLAM-263	397	14,642	45,1602
DSLAM-264	92	14,7407	45,3988
DSLAM-265	203	14,8973	45,2796
DSLAM-266	371	14,5711	45,5327
